WeightClassKg,Dots
44.0,337.14
48.0,381.62
52.0,338.23
53.0,400.8
56.0,380.41
58.5,129.79
60.0,357.17
63.0,333.25
67.5,384.36
70.0,393.08
75.0,335.92
80.0,443.88
82.5,319.74
90.0,351.95
100.0,397.1
110.0,386.09
125.0,423.97
144.5,131.16
145.0,439.18
