WeightClassKg,Dots
30.0,128.29
35.0,144.15
40.0,186.98
44.0,288.69
48.0,312.72
52.0,314.35
56.0,329.98
60.0,337.98
67.5,339.82
75.0,349.82
82.5,350.01
90.0,353.19
100.0,340.86
110.0,357.11
125.0,347.52
140.0,336.6
