WeightClassKg,Dots
30.0,128.19
35.0,148.68
40.0,162.35
43.0,250.65
44.0,259.07
47.0,294.89
48.0,290.22
52.0,308.2
53.0,266.63
56.0,331.71
57.0,304.71
59.0,296.51
60.0,341.66
63.0,302.23
66.0,320.7
67.5,343.86
72.0,291.09
74.0,331.7
75.0,339.43
82.5,323.34
83.0,333.72
84.0,276.89
90.0,321.32
93.0,335.79
100.0,351.91
105.0,325.58
110.0,335.09
120.0,303.71
125.0,320.34
