WeightClassKg,Dots
30.0,128.762196969697
35.0,162.76970212765957
40.0,195.6954861111111
43.0,279.74558303886926
44.0,265.3254237288135
47.0,303.49914877868247
48.0,293.32231775700933
52.0,313.4388942123419
53.0,275.43347158218126
56.0,321.97888184985743
57.0,313.99897362567526
59.0,311.012461767997
60.0,326.35734344986554
63.0,310.31177645788335
66.0,328.14683247379804
67.5,330.97717243283034
69.0,317.16007860262005
72.0,302.0188932806324
74.0,339.5773565840939
75.0,341.5028567257864
76.0,308.8125
82.5,343.8271359333586
83.0,340.8760475136835
84.0,285.17031179101576
90.0,342.8448067930101
93.0,342.0447975697321
100.0,332.37198005577625
105.0,337.04763301948765
110.0,348.7944101068999
120.0,319.8835899685604
125.0,329.96113257475525
140.0,332.80371118012425
