WeightClassKg,Dots
44.0,380.34
48.0,251.12
52.0,267.59
56.0,259.52
60.0,307.77
67.5,290.9
75.0,289.12
82.5,270.3
90.0,289.85
100.0,276.32
110.0,283.06
125.0,303.45
