WeightClassKg,Dots
30.0,120.81
35.0,133.35
40.0,190.18
43.0,316.57
44.0,179.89
47.0,310.91
48.0,217.39
52.0,302.89
53.0,289.24
57.0,309.39
59.0,305.01
63.0,305.98
66.0,335.3
72.0,299.62
74.0,329.98
83.0,331.94
84.0,284.91
93.0,333.72
105.0,330.54
120.0,314.86
