WeightClassKg,Dots
44.0,344.85
48.0,280.56
52.0,278.95
56.0,304.27
60.0,306.09
67.5,300.58
75.0,314.93
82.5,315.12
90.0,312.8
100.0,326.7
110.0,330.06
125.0,303.45
