WeightClassKg,Dots
35.0,373.06
44.0,320.29
48.0,301.23
52.0,291.62
56.0,289.32
60.0,307.75
67.5,294.03
75.0,289.43
82.5,286.29
90.0,304.38
100.0,300.11
110.0,276.26
125.0,326.7
145.0,254.79
