WeightClassKg,Dots
44.0,318.57
48.0,306.74
52.0,270.19
53.0,356.66
56.0,299.16
59.0,410.06
60.0,294.12
63.0,244.38
66.0,433.32
67.5,297.92
72.0,212.55
74.0,418.98
75.0,307.86
82.5,320.99
83.0,395.14
90.0,305.61
93.0,391.92
100.0,312.26
105.0,423.47
110.0,297.53
120.0,400.0
125.0,311.3
140.0,452.41
